datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,fear_greed_category,lightning_nodes,lightning_capacity_usd
2023-02-01,23727.2026075395,19279033,457437534999.0765,382453031763.48816,0.1639229348237453,10292890.810585449,1054557.0,56.0,Greed,17761.0,126790971.57510927
2023-02-02,23505.6048430742,19279939,453186646218.8484,382561942893.4941,0.15584021266868692,4172889.2151913955,1004623.0,60.0,Greed,17731.0,125238278.21687388
2023-02-03,23445.8131773816,19280771,452053355836.2577,382692364543.9199,0.15343540844647913,7870360.744662361,993120.0,60.0,Greed,17731.0,124006213.70334885
2023-02-04,23355.5243863238,19281621,450332370523.6734,382845062469.05566,0.14986110808809827,2887912.927171471,977809.0,58.0,Greed,17731.0,124837262.31314103
2023-02-05,22957.2251905319,19282571,442674325731.8283,382855384839.0654,0.13513081155965015,4045179.9467595355,809568.0,58.0,Greed,17731.0,121713807.81553346
2023-02-06,22745.1650371128,19283496,438606300035.37646,382889048182.6598,0.12703249325926855,4393932.308681967,915864.0,56.0,Greed,17731.0,122663256.22567768
2023-02-07,23266.2692036821,19284383,448675658984.3517,382995736107.132,0.14638619582327367,3911665.5371929496,933987.0,54.0,Neutral,17731.0,124355112.82638983
2023-02-08,22937.5799453536,19285246,442356872922.3357,383051172703.1703,0.13406754557101155,5930314.858182575,945889.0,58.0,Greed,17731.0,121152540.82894304
2023-02-09,21818.1989456458,19286258,420791425851.3377,382923608143.7352,0.08999189475163137,6848190.883056214,1074333.0,55.0,Greed,17734.0,117055072.91853043
2023-02-10,21620.5667837522,19287177,416999704775.9888,382819890935.5804,0.08196603846223273,6904107.912112264,916853.0,48.0,Neutral,17734.0,116125341.7648574
2023-02-11,21864.8626414378,19288102,421731707293.54126,382829108154.3698,0.09224489993609554,4016111.3901235983,883953.0,49.0,Neutral,17734.0,116611390.8378822
2023-02-12,21772.1373252484,19289114,419965256198.5884,382815667678.1066,0.08845871883962439,3872001.206904357,876806.0,50.0,Neutral,17734.0,117085787.42490228
2023-02-13,21798.7157168323,19290089,420499183592.7398,382786594328.4917,0.08968528533642375,4934912.835783969,970819.0,48.0,Neutral,17734.0,116875953.0773679
2023-02-14,22222.415043834,19291052,428693770731.15106,382839104965.9585,0.10696368572602759,3136930.547487777,912315.0,50.0,Neutral,17734.0,118964093.54899658
2023-02-15,24304.6129827586,19292071,468886320383.90247,383244054068.6257,0.18265038366902422,6415994.319140035,994080.0,53.0,Neutral,17734.0,132708333.9850692
2023-02-16,23742.4488354763,19293189,458067571580.2315,383327737280.40027,0.16316333863581609,6641981.587968733,1127027.0,62.0,Greed,17791.0,126712484.29552418
2023-02-17,24607.3356054939,19294221,474779372500.1836,383592339758.2554,0.19206190922267366,4799982.871387234,1052081.0,61.0,Greed,17791.0,131364981.3795811
2023-02-18,24636.5266127995,19295271,475368458600.6066,383689001587.0159,0.19285978140720023,2307791.4913307726,1054449.0,60.0,Greed,17791.0,132471237.591582
2023-02-19,24366.9907606663,19296283,470192362855.5045,383750107407.1847,0.18384444809641562,4650758.770033775,920448.0,60.0,Greed,17791.0,131158217.522204
2023-02-20,24797.8430359439,19297202,478528993543.54626,383889150933.735,0.1977724315281202,2965611.5598650645,910033.0,58.0,Greed,17791.0,133609063.27117772
2023-02-21,24400.3893898305,19298246,470884718038.0478,383949852061.3672,0.18462027465851252,5162956.0701313345,1015220.0,60.0,Greed,17791.0,128747420.45508575
2023-02-22,24163.7389812975,19299121,466338923499.14374,383891034871.01807,0.17679821364573925,7653582.925450064,942922.0,59.0,Greed,17791.0,130822353.74147992
2023-02-23,23910.0342104033,19300189,461468198265.0323,383983847350.7294,0.16790832218908786,4039907.822646825,1079195.0,56.0,Greed,17836.0,128710809.20583594
2023-02-24,23175.8242036821,19301033,447317360387.61804,383866745320.5564,0.14184697641083993,9370965.651918456,964183.0,53.0,Neutral,17836.0,124557111.87683436
2023-02-25,23159.8154403857,19301702,447023862836.7966,383828687582.3776,0.14136868410868436,3395121.853091948,817375.0,52.0,Neutral,17836.0,125195775.74724068
2023-02-26,23542.0964281122,19302752,454427255856.1704,383898638197.7011,0.15520331747176744,3509317.8580450136,918618.0,51.0,Neutral,17836.0,127206329.45119272
2023-02-27,23504.1894178843,19303627,453716112393.23895,383976883723.5959,0.15370674914273175,9392982.479646007,971028.0,50.0,Neutral,17836.0,126706269.73249924
2023-02-28,23145.9491277031,19304483,446820594068.47943,383585448975.6286,0.14152244979818332,14408685.169492401,985104.0,53.0,Neutral,17836.0,127810563.3466956
2023-03-01,23610.6590902981,19305546,455816666219.8621,383447918990.1624,0.15876722505533136,14584547.445560431,1086910.0,50.0,Neutral,17836.0,127164461.2006455
2023-03-02,23470.0254815897,19306446,453122780634.4051,383419656829.6163,0.15382833700658205,5206975.329098794,943944.0,51.0,Neutral,17916.0,121448092.05215923
2023-03-03,22350.0962340736,19307496,431524394644.0964,383277489477.6554,0.11180574207451945,5661235.88212435,1089648.0,50.0,Neutral,17916.0,120145682.6769586
2023-03-04,22334.2852638808,19308446,431240341970.6324,383283814633.4115,0.11120603215848192,4078075.478170959,907044.0,50.0,Neutral,17916.0,120832762.812652
2023-03-05,22419.8171390999,19309414,432913548766.2791,383072740906.7345,0.1151287780241145,10126239.863458293,995109.0,47.0,Neutral,17916.0,120426990.0837259
2023-03-06,22414.7033056692,19310239,432833295765.6005,383008433667.6812,0.115113283994912,7647134.515959001,928914.0,48.0,Neutral,17916.0,121117516.95496383
2023-03-07,22174.6484725307,19311271,428220646979.9916,381709243185.273,0.10861550960407519,25075514.981027447,1067378.0,49.0,Neutral,17916.0,118131291.96929634
2023-03-08,21701.3846227352,19312102,419099359776.772,381571242991.5429,0.08954467695970222,5533937.633788038,895631.0,50.0,Neutral,17916.0,117357325.6161708
2023-03-09,20349.8141732905,19312946,393014863153.9447,381208394172.1552,0.030040769672277947,8143342.663059721,930069.0,44.0,Fear,17940.0,108017920.4517472
2023-03-10,20240.406694623,19313796,390919086767.21344,380969154533.87,0.02545266417054863,5818113.24640573,993875.0,34.0,Fear,17940.0,110103062.17194396
2023-03-11,20585.2343290473,19314827,397600245892.05597,380949562560.5581,0.041877950286827385,6746122.023439815,975440.0,33.0,Fear,17940.0,110955754.56223585
2023-03-12,22065.9800359439,19315833,426222797380.9447,381101865700.1048,0.1058623141655002,3647284.256569988,891560.0,33.0,Fear,17940.0,120840678.09636268
2023-03-13,24154.4290946815,19316814,466586633300.22064,381750976185.894,0.18182187628109778,12592510.88703985,995257.0,49.0,Neutral,17940.0,131424616.9082434
2023-03-14,24769.0175691409,19317727,478481126765.00836,382227709330.4224,0.20116450169174158,14185682.871274548,1028332.0,56.0,Greed,17940.0,134020126.9452075
2023-03-15,24409.8017518995,19318646,471564320072.85846,382408829868.4549,0.18906326541123533,12020702.16947116,1015005.0,50.0,Neutral,17940.0,132221022.76162016
2023-03-16,25043.2388468732,19319483,483822440814.9443,382720091027.8756,0.20896581319538046,9603868.970441334,893376.0,52.0,Neutral,17954.0,139431416.29251897
2023-03-17,27450.6282933957,19320402,530357181878.11707,383871003275.8469,0.27620287535944893,9138152.99234609,1074437.0,51.0,Neutral,17954.0,149102571.3838313
2023-03-18,26985.7359915254,19321414,521402598639.8392,384008144087.9384,0.26350933982744973,4348438.752740369,972557.0,64.0,Greed,17954.0,147402550.79946327
2023-03-19,28185.2043319696,19322339,544604095293.004,384298292408.5311,0.2943529148421594,4716909.877465745,849038.0,63.0,Greed,17954.0,148577879.8235705
2023-03-20,27834.3361090006,19323302,537851290814.0443,384651040016.42926,0.2848375627503741,7858684.74569847,1023019.0,66.0,Greed,17954.0,150922394.91750503
2023-03-21,28172.7950558153,19324208,544416966953.3016,385075221148.1887,0.29268328409533334,7435680.100079283,985637.0,68.0,Greed,17954.0,153430451.25458655
2023-03-22,27341.5571297487,19325202,528381122591.8992,385221948877.3991,0.2709392285103845,9170545.911859287,944070.0,62.0,Greed,17954.0,150138119.83274403
2023-03-23,28387.8897495617,19326346,548634180786.51337,385877554130.3533,0.29665783204180746,11223237.257167412,915894.0,57.0,Greed,18012.0,153908175.42369324
2023-03-24,27464.1249453536,19327358,530808989942.73,386007882903.0305,0.27279324537310934,9136606.529662078,886593.0,61.0,Greed,18012.0,149668514.71173316
2023-03-25,27488.954880187,19328264,531313798861.26355,386078561937.0797,0.27335114810768846,3500365.0336312973,909390.0,64.0,Greed,18012.0,149480966.09665647
2023-03-26,28049.3916911163,19329164,542171314396.2761,386270616682.3798,0.28754877577301624,5146165.348691489,838165.0,64.0,Greed,18012.0,151780681.70659965
2023-03-27,27154.9963702513,19330089,524908518219.0681,386798443806.5076,0.2631126560512796,11213165.812275127,1055338.0,64.0,Greed,18012.0,145377306.9199039
2023-03-28,27283.9634029807,19330927,527424312861.66833,386964121063.8261,0.26631345649528637,5171764.838660638,977256.0,59.0,Greed,18012.0,148633699.17187437
2023-03-29,28389.2917784921,19331846,548817417987.5691,387310250505.87976,0.29428214591641755,4624296.0455802195,992610.0,57.0,Greed,18012.0,154799440.99437717
2023-03-30,28021.5583009936,19332814,541735596899.5904,381407265481.932,0.29595310394080476,91213768.49157289,1018397.0,60.0,Greed,18032.0,151747212.706296
