Date,Open_BTC-USD,High_BTC-USD,Low_BTC-USD,Close_BTC-USD,Adj Close_BTC-USD,Volume_BTC-USD,funding_rate
2020-09-24,10248.786133,10771.056641,10231.490234,10760.066406,10760.066406,47144380902,3.817e-05
2020-09-26,10695.575195,10772.999023,10667.28125,10750.723633,10750.723633,46852525493,0.0001
2020-09-27,10746.892578,10803.976563,10622.921875,10775.269531,10775.269531,53745972818,0.0001
2020-09-29,10709.650391,10860.000977,10649.495117,10844.640625,10844.640625,46582396602,0.0001
2020-10-01,10795.254883,10933.624023,10472.356445,10619.452148,10619.452148,40023134100,7.412e-05
2020-10-03,10575.100586,10598.94043,10511.129883,10549.329102,10549.329102,44660271563,0.0001
2020-10-04,10550.44043,10686.0,10534.391602,10669.583008,10669.583008,71251776995,-2.144e-05
2020-10-05,10676.529297,10793.507813,10634.600586,10793.339844,10793.339844,47537578009,-3.381e-05
2020-10-06,10796.306641,10797.578125,10528.890625,10604.40625,10604.40625,42623695307,-1.26e-06
2020-10-07,10603.355469,10680.507813,10562.506836,10668.96875,10668.96875,37799458436,5.11e-06
2020-10-08,10669.371094,10945.737305,10562.606445,10915.685547,10915.685547,63314794397,2.693e-05
2020-10-15,11426.602539,11569.914063,11303.603516,11495.349609,11495.349609,24487233058,0.0001
2020-10-19,11495.038086,11799.092773,11408.290039,11742.037109,11742.037109,23860769928,0.0001
2020-10-22,12801.635742,13161.59375,12717.09375,12965.891602,12965.891602,34729759598,0.0001
2020-10-24,12931.574219,13145.066406,12885.74707,13108.0625,13108.0625,24542317940,0.0001
2020-10-27,13075.242188,13759.668945,13060.837891,13654.21875,13654.21875,33749878156,9.274e-05
2020-10-28,13654.214844,13837.695313,12932.250977,13271.285156,13271.285156,35867318895,3.725e-05
2020-10-29,13271.298828,13612.047852,12980.05957,13437.882813,13437.882813,56499499598,-0.00026006
2020-10-30,13437.874023,13651.516602,13136.198242,13546.522461,13546.522461,30581485201,-0.00015268
2020-11-01,13780.995117,13862.033203,13628.37793,13737.109375,13737.109375,24453857900,-6.386e-05
2020-11-02,13737.032227,13808.323242,13243.160156,13550.489258,13550.489258,30771455468,7.881e-05
2020-11-03,13550.451172,13984.981445,13325.441406,13950.300781,13950.300781,29869951617,-0.00017064
2020-11-04,13950.488281,14218.766602,13580.47168,14133.707031,14133.707031,35116364962,-7.816e-05
2020-11-06,15579.729492,15903.4375,15226.839844,15565.880859,15565.880859,39837841971,0.0001
2020-11-08,14833.753906,15637.320313,14744.110352,15479.567383,15479.567383,26632075029,0.0001
2020-11-11,15290.90918,15916.260742,15290.006836,15701.339844,15701.339844,29772374934,0.0001
2020-11-13,16276.44043,16463.177734,15992.152344,16317.808594,16317.808594,31599492172,0.0001
2020-11-16,15955.577148,16816.181641,15880.706055,16716.111328,16716.111328,31526766675,0.0001
2020-11-21,18621.316406,18936.621094,18444.359375,18642.232422,18642.232422,39650210707,0.0001
2020-11-24,18365.015625,19348.271484,18128.65625,19107.464844,19107.464844,51469565009,0.00050801
2020-12-01,19633.769531,19845.974609,18321.921875,18802.998047,18802.998047,49633658712,0.00045929
2020-12-05,18698.384766,19160.449219,18590.193359,19154.230469,19154.230469,27242455064,0.0001
2020-12-07,19343.128906,19411.828125,18931.142578,19191.630859,19191.630859,26896357742,0.0001
2020-12-09,18320.884766,18626.292969,17935.546875,18553.916016,18553.916016,34420373071,0.0001
2020-12-10,18553.298828,18553.298828,17957.064453,18264.992188,18264.992188,25547132265,0.0001
2020-12-11,18263.929688,18268.453125,17619.533203,18058.904297,18058.904297,27919640985,0.0001
2020-12-14,19144.492188,19305.099609,19012.708984,19246.644531,19246.644531,22473997681,0.0001
2020-12-17,21308.351563,23642.660156,21234.675781,22805.162109,22805.162109,71378606374,0.0001
2020-12-18,22806.796875,23238.601563,22399.8125,23137.960938,23137.960938,40387896275,0.00028532
2020-12-19,23132.865234,24085.855469,22826.472656,23869.832031,23869.832031,38487546580,0.0001
2020-12-23,23781.974609,24024.490234,22802.646484,23241.345703,23241.345703,51146161904,0.0001131
2020-12-25,23733.570313,24710.101563,23463.673828,24664.791016,24664.791016,42068395846,0.00018528
2020-12-27,26439.373047,28288.839844,25922.769531,26272.294922,26272.294922,66479895605,0.0001994
2021-01-02,29376.455078,33155.117188,29091.181641,32127.267578,32127.267578,67865420765,0.0001
2021-01-04,32810.949219,33440.21875,28722.755859,31971.914063,31971.914063,81163475344,0.00164126
2021-01-08,39381.765625,41946.738281,36838.636719,40797.609375,40797.609375,88107519480,0.00213517
2021-01-10,40254.21875,41420.191406,35984.628906,38356.441406,38356.441406,79980747690,0.00145604
2021-01-11,38346.53125,38346.53125,30549.599609,35566.65625,35566.65625,123320567399,0.00086486
2021-01-12,35516.359375,36568.527344,32697.976563,33922.960938,33922.960938,74773277909,0.00033526
2021-01-14,37325.109375,39966.40625,36868.5625,39187.328125,39187.328125,63615990033,0.00078331
2021-01-16,36821.648438,37864.367188,35633.554688,36178.140625,36178.140625,57706187875,0.0001
2021-01-18,35792.238281,37299.285156,34883.84375,36630.074219,36630.074219,49511702429,0.00055375
2021-01-19,36642.234375,37755.890625,36069.804688,36069.804688,36069.804688,57244195486,0.0006167
2021-01-21,35549.398438,35552.679688,30250.75,30825.699219,30825.699219,75643067688,0.00042078
2021-01-23,32985.757813,33360.976563,31493.160156,32067.642578,32067.642578,48354737975,0.0001
2021-01-27,32564.029297,32564.029297,29367.138672,30432.546875,30432.546875,62576762015,0.0001
2021-01-28,30441.041016,33858.3125,30023.207031,33466.097656,33466.097656,76517157706,0.0001
2021-01-30,34295.933594,34834.707031,32940.1875,34269.523438,34269.523438,65141828798,0.00039208
2021-02-02,33533.199219,35896.882813,33489.21875,35510.289063,35510.289063,63088585433,0.00036787
2021-02-07,39250.191406,39621.835938,37446.152344,38903.441406,38903.441406,65500641143,0.00155546
2021-02-08,38886.828125,46203.929688,38076.324219,46196.464844,46196.464844,101467222687,0.00059267
2021-02-11,44898.710938,48463.46875,44187.761719,47909.332031,47909.332031,81388911810,0.00076742
2021-02-12,47877.035156,48745.734375,46424.976563,47504.851563,47504.851563,76555041196,0.00128772
2021-02-15,48696.535156,48875.570313,46347.476563,47945.058594,47945.058594,77069903166,0.0011786
2021-02-20,55887.335938,57505.226563,54626.558594,56099.519531,56099.519531,68145460026,0.00156318
2021-02-23,54204.929688,54204.929688,45290.589844,48824.425781,48824.425781,106102492824,0.00024947
2021-02-26,47180.464844,48370.785156,44454.84375,46339.761719,46339.761719,350967941479,0.0001
2021-03-01,45159.503906,49784.015625,45115.09375,49631.242188,49631.242188,53891300112,0.00016921
2021-03-02,49612.105469,50127.511719,47228.84375,48378.988281,48378.988281,47530897720,0.0001
2021-03-03,48415.816406,52535.136719,48274.320313,50538.242188,50538.242188,53220811975,0.0001
2021-03-04,50522.304688,51735.089844,47656.929688,48561.167969,48561.167969,52343816680,0.0001
2021-03-05,48527.03125,49396.429688,46542.515625,48927.304688,48927.304688,48625928883,0.0001
2021-03-06,48899.230469,49147.21875,47257.527344,48912.382813,48912.382813,34363564661,0.0001
2021-03-08,51174.117188,52314.070313,49506.054688,52246.523438,52246.523438,48597428048,0.0001
2021-03-09,52272.96875,54824.117188,51981.832031,54824.117188,54824.117188,50912227385,0.00072419
2021-03-11,55963.179688,58091.0625,54484.59375,57805.121094,57805.121094,56772343595,0.00095931
2021-03-13,57343.371094,61683.863281,56217.972656,61243.085938,61243.085938,60669829814,0.00047834
2021-03-20,58332.261719,60031.285156,58213.296875,58313.644531,58313.644531,50361731222,0.0004928
2021-03-21,58309.914063,58767.898438,56005.617188,57523.421875,57523.421875,51943414539,0.00031366
2021-03-23,54511.660156,55985.441406,53470.695313,54738.945313,54738.945313,56435023914,0.0002421
2021-03-25,52726.746094,53392.386719,50856.570313,51704.160156,51704.160156,67999812841,0.00011828
2021-03-28,55974.941406,56610.3125,55071.113281,55950.746094,55950.746094,47686580918,0.0001
2021-03-31,58930.277344,59930.027344,57726.417969,58918.832031,58918.832031,65520826225,0.00080754
2021-04-02,59098.878906,60267.1875,58869.28125,59384.3125,59384.3125,58727860620,0.00071058
2021-04-04,57604.839844,58913.746094,57168.675781,58758.554688,58758.554688,50749662970,0.0005209
2021-04-05,58760.875,59891.296875,57694.824219,59057.878906,59057.878906,60706272115,0.00039464
2021-04-07,58186.507813,58731.144531,55604.023438,56048.9375,56048.9375,75645303584,0.00057609
2021-04-09,58326.5625,58937.046875,57807.863281,58245.003906,58245.003906,46655208546,0.00019611
2021-04-19,56191.585938,57520.054688,54368.59375,55724.265625,55724.265625,65344865159,0.0001
2021-04-22,53857.105469,55410.230469,50583.8125,51762.273438,51762.273438,74798630778,0.0001
2021-04-25,50052.832031,50506.019531,47159.484375,49004.253906,49004.253906,46117114240,0.000217
2021-04-27,54030.304688,55416.964844,53319.1875,55033.117188,55033.117188,49448222757,0.0001
2021-04-28,55036.636719,56227.207031,53887.917969,54824.703125,54824.703125,48000572955,0.0001
2021-05-07,56413.953125,58606.632813,55321.847656,57356.402344,57356.402344,68434023376,0.00044645
2021-05-11,55847.242188,56872.542969,54608.652344,56704.574219,56704.574219,61308396325,0.00039557
2021-05-16,46716.636719,49720.042969,43963.351563,46456.058594,46456.058594,64047871555,0.00040248
2021-05-19,42944.976563,43546.117188,30681.496094,37002.441406,37002.441406,126358098747,0.0001
2021-05-21,40596.949219,42172.171875,33616.453125,37304.691406,37304.691406,82051616861,0.0001
2021-05-25,38795.78125,39776.351563,36581.429688,38402.222656,38402.222656,56211915803,0.0001
2021-05-27,39316.890625,40379.617188,37247.902344,38436.96875,38436.96875,43210968721,0.0001
2021-06-05,36880.15625,37917.714844,34900.414063,35551.957031,35551.957031,35959473399,0.0001
2021-06-06,35538.609375,36436.421875,35304.578125,35862.378906,35862.378906,28913440585,0.0001
2021-06-08,33589.519531,34017.386719,31114.443359,33472.632813,33472.632813,49902050442,0.0001
2021-06-14,39016.96875,40978.363281,38757.285156,40218.476563,40218.476563,43148914673,0.0001
2021-06-15,40427.167969,41295.269531,39609.46875,40406.269531,40406.269531,46420149185,8.002e-05
2021-07-01,35035.984375,35035.984375,32883.78125,33572.117188,33572.117188,37838957079,0.0001
2021-07-09,32861.671875,34042.292969,32318.880859,33798.011719,33798.011719,27436021028,-0.00010885
2021-07-12,34254.015625,34592.15625,32697.308594,33155.847656,33155.847656,24321499537,8.851e-05
2021-07-13,33125.46875,33327.101563,32261.419922,32702.025391,32702.025391,19120856669,0.0001
2021-07-14,32723.845703,33061.398438,31639.125,32822.347656,32822.347656,21376531210,0.0001
2021-07-16,31841.550781,32218.40625,31100.673828,31421.539063,31421.539063,23699476918,-0.00011529
2021-07-18,31533.884766,32398.996094,31215.492188,31796.810547,31796.810547,18787986667,0.0001
2021-07-24,33593.730469,34490.390625,33424.859375,34292.445313,34292.445313,21664706865,-7.246e-05
2021-07-26,35384.03125,40499.675781,35287.3125,37337.535156,37337.535156,51022126212,-0.00054841
2021-07-28,39503.1875,40816.070313,38862.4375,39995.90625,39995.90625,38702404695,-2.037e-05
2021-07-31,42196.304688,42231.449219,41110.832031,41626.195313,41626.195313,25802845343,0.0001
2021-08-02,39907.261719,40419.179688,38746.347656,39201.945313,39201.945313,25595265436,0.0001
2021-08-03,39178.402344,39750.03125,37782.050781,38152.980469,38152.980469,26189830450,0.0001
2021-08-04,38213.332031,39952.296875,37589.164063,39747.503906,39747.503906,25372562724,0.0001
2021-08-05,39744.515625,41341.933594,37458.003906,40869.554688,40869.554688,35185031017,0.0001
2021-08-06,40865.867188,43271.660156,39932.179688,42816.5,42816.5,38226483046,0.0001
2021-08-08,44574.4375,45282.351563,43331.910156,43798.117188,43798.117188,36302664750,0.0001
2021-08-09,43791.925781,46456.832031,42848.6875,46365.402344,46365.402344,38734079049,0.0001
2021-08-10,46280.847656,46637.988281,44705.554688,45585.03125,45585.03125,33546019517,0.0001
2021-08-13,44439.691406,47831.976563,44282.417969,47793.320313,47793.320313,31744259539,0.0001
2021-08-18,44686.75,45952.0625,44364.027344,44801.1875,44801.1875,32194123075,0.0001
2021-08-19,44741.882813,46970.761719,43998.316406,46717.578125,46717.578125,37204312299,0.0001
2021-08-20,46723.121094,49342.152344,46650.707031,49339.175781,49339.175781,34706867452,0.0001
2021-08-28,49072.585938,49283.503906,48499.238281,48902.402344,48902.402344,28568103401,0.0001
2021-08-29,48911.25,49644.113281,47925.855469,48829.832031,48829.832031,25889650240,0.0001
2021-08-31,47024.339844,48189.550781,46750.09375,47166.6875,47166.6875,34730363427,0.00036162
2021-09-01,47099.773438,49111.089844,46562.4375,48847.027344,48847.027344,39139399125,0.00044618
2021-09-11,44869.839844,45969.292969,44818.265625,45201.457031,45201.457031,34499835245,0.0001
2021-09-12,45206.628906,46364.878906,44790.460938,46063.269531,46063.269531,27881980161,0.0001
2021-09-13,46057.214844,46598.679688,43591.320313,44963.074219,44963.074219,40969943253,0.0001
2021-09-17,47771.003906,48160.921875,46832.523438,47267.519531,47267.519531,28727713711,0.0001
2021-09-18,47273.527344,48791.78125,47087.285156,48278.363281,48278.363281,28575630451,0.0001
2021-09-24,44894.300781,45080.492188,40936.558594,42839.75,42839.75,42839345714,-7.856e-05
2021-09-27,43234.183594,44313.246094,42190.632813,42235.730469,42235.730469,30980029059,0.0001
2021-09-28,42200.898438,42775.144531,40931.664063,41034.542969,41034.542969,30214940550,2.549e-05
2021-09-29,41064.984375,42545.257813,40829.667969,41564.363281,41564.363281,30602359905,4.448e-05
2021-09-30,41551.269531,44092.601563,41444.582031,43790.894531,43790.894531,31141681925,0.0001
2021-10-02,48137.46875,48282.0625,47465.496094,47711.488281,47711.488281,30614346492,5.277e-05
2021-10-10,54952.820313,56401.304688,54264.257813,54771.578125,54771.578125,39527792364,0.0001
