Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,realized_volatility,exchange_netflow_proxy,funding_rate_proxy,macro_interaction_proxy
2020-01-15,8843.6757322237,769961,1.10473990584337e+20,2837275.0,601387988,6.34640153194588e+22,31.35812937,4175850.0,146.53999299999995,31.75,16.809998999999998,328.190002,139.649994,26.190001,2.184367399,13,0.03053467805212769,0.0012803065830440232,0.0017407343362729904,48092.960595749966
2020-01-16,8711.6375778988,741776,1.17800355309292e+20,2835287.5,601782936,6.34640153194588e+22,23.85247351,4171573.142857143,146.309998,31.76,16.77,330.920013,139.21000700000002,26.23,2.184367399,13,0.028939875284410572,0.0012326304978511388,0.0018561755778659823,48416.906440189974
2020-01-17,8925.299028445601,757448,1.16281340367992e+20,2833300.0,602186651,6.34640153194588e+22,24.29323765,4167296.2857142864,146.580002,31.549999,16.82,331.950012,138.020004,26.32,2.184367399,13,0.027668307971875594,0.0012578292772551015,0.0018322405190195836,48657.23342286003
2020-01-18,8939.8643002492,634559,9.68893851885055e+19,2831650.0,602532556,6.34640153194588e+22,17.76555017,4163019.4285714286,146.580002,31.549999,16.82,331.950012,138.020004,26.32,2.184367399,13,0.02780284759063831,0.001053153051534032,0.0015266822419097408,48657.23342286003
2020-01-19,8638.1814404614,636694,1.10216300397337e+20,2829775.0,602874415,6.34640153194588e+22,16.5175935,4158742.5714285714,146.580002,31.549999,16.82,331.950012,138.020004,26.32,2.184367399,13,0.03056015535146766,0.0010560972304654859,0.0017366739221043805,48657.23342286003
2020-01-20,8652.6837629859,736438,1.11977553815661e+20,2827875.0,603251139,6.34640153194588e+22,17.74334005,4154465.7142857136,146.580002,31.549999,16.82,331.950012,138.020004,26.32,2.184367399,13,0.028694631607993487,0.0012207817812342331,0.0017644259231313936,48657.23342286003
2020-01-21,8708.786013433,757020,1.11546305458732e+20,2825962.5,603640398,6.34640153194588e+22,20.51905021,4150188.857142857,146.740005,30.959999,16.639999,331.299988,139.470001,26.299999,2.184367399,13,0.027062026934244532,0.0012540910159561586,0.0017576307596870668,48614.961895619934
2020-01-22,8635.0743569587,783825,1.14777773280262e+20,2824012.5,604029549,6.34640153194588e+22,21.67952284,4145912.0,146.78999299999995,30.65,16.66,331.339996,139.96000700000002,26.280001,2.184367399,13,0.027326105062785943,0.0012976600255693782,0.0018085488713959423,48637.395693460014
2020-01-23,8384.0887767671,768892,1.16985038151036e+20,2822025.0,604412119,6.34640153194588e+22,21.03754657,4146728.857142857,147.119995,30.559999,16.610001,331.720001,140.940002,26.35,2.184367399,13,0.027007698384756376,0.0012721320036933276,0.0018433286573843214,48802.64488851999
2020-01-24,8451.2322960209,733013,1.11213298845476e+20,2820125.0,604798498,6.34640153194588e+22,16.10082373,4147545.7142857136,147.979996,30.17,16.91,328.769989,142.080002,26.389999,2.184367399,13,0.025628325493893735,0.001211995404128798,0.0017523835875442428,48651.381657140046
2020-01-25,8347.567505406,650857,1.205198994024e+20,2818075.0,605130209,6.34640153194588e+22,11.39326294,4148362.5714285714,147.979996,30.17,16.91,328.769989,142.080002,26.389999,2.184367399,13,0.025946187293214112,0.0010755652094704795,0.0018990273274664235,48651.381657140046
2020-01-26,8562.307470442,573738,1.05019373619267e+20,2816287.5,605437497,6.34640153194588e+22,10.57299079,4149179.4285714286,147.979996,30.17,16.91,328.769989,142.080002,26.389999,2.184367399,13,0.02663646397475586,0.0009476419991211744,0.0016547861507128251,48651.381657140046
2020-01-27,8881.9623914604,702915,9.6527200417504e+19,2814675.0,605792731,6.34640153194588e+22,19.78717492,4149996.2857142864,148.990005,29.32,16.889999,323.5,144.28999299999995,26.43,2.184367399,13,0.027937094856572593,0.0011603226054556273,0.0015209753106798405,48198.2666175
2020-01-28,9131.1149880642,823221,1.06314986933377e+20,2812900.0,606216206,6.64263891249076e+22,22.98737848,4150813.142857143,147.660004,29.48,16.32,326.890015,143.160004,26.43,2.184367399,13,0.021417704166441766,0.0013579660059434306,0.001600493242730133,48268.58092246006
2020-01-29,9320.9784062486,776159,1.22285760012716e+20,2810900.0,606628683,6.64263891249076e+22,20.42515898,4151630.0,148.46000700000005,29.17,16.41,326.619995,144.559998,26.469999,2.184367399,13,0.02179874434343089,0.0012794630747784803,0.0018409213811512609,48490.00674403998
2020-01-30,9545.0779565894,763783,1.20337661458166e+20,2808950.0,607037103,6.64263891249076e+22,19.64580869,4153783.857142857,148.470001,29.4,16.68,327.679993,144.580002,26.389999,2.184367399,13,0.021691301120108798,0.00125821468939107,0.0018115942028985516,48650.648888389995
2020-01-31,9388.8807518859,772889,1.1050856112649e+20,2807150.0,607447533,6.64263891249076e+22,22.53135857,4155937.7142857136,149.330002,28.5,16.82,321.730011,145.899994,26.280001,2.184367399,13,0.021864834674729546,0.001272355154992456,0.001663624390582042,48043.94318609002
2020-02-01,9363.1933827575,720033,1.15646694543727e+20,2805262.5,607820766,6.64263891249076e+22,17.4815999,4158091.5714285714,149.330002,28.5,16.82,321.730011,145.899994,26.280001,2.068985713,14,0.02192648415024953,0.0011846140182713008,0.0017409751766916904,48043.94318609002
2020-02-02,9385.2603858419,727237,1.10301837535263e+20,2803475.0,608183790,6.64263891249076e+22,16.94878932,4160245.4285714286,149.330002,28.5,16.82,321.730011,145.899994,26.280001,2.068985713,14,0.019092010224483293,0.0011957520275244428,0.0016605123203046969,48043.94318609002
2020-02-03,9269.7070348447,864995,1.13431470987497e+20,2801625.0,608594863,6.64263891249076e+22,21.53312454,4162399.2857142864,148.360001,28.110001,16.5,324.119995,145.53999299999995,26.41,2.068985713,14,0.019693370614532135,0.0014212985560477858,0.0017076266297450166,48086.44278232
2020-02-04,9177.8946372066,768226,1.01898724732278e+20,2799975.0,608993436,6.64263891249076e+22,23.74587464,4164553.142857143,146.429993,28.190001,16.450001,329.059998,143.580002,26.450001,2.068985713,14,0.0200794251060302,0.0012614684405235527,0.0015340096921521433,48184.253203720014
2020-02-05,9625.4566372011,837536,1.22038198288293e+20,2797987.5,609437775,6.64263891249076e+22,25.44140813,4166707.0,146.610001,29.27,16.459999,332.859985,142.009995,26.549999,2.068985713,14,0.022855215941962038,0.001374276479661931,0.00183719452308048,48800.60273370999
2020-02-06,9681.3774113095,749129,1.03613746497464e+20,2796300.0,609828904,6.64263891249076e+22,27.10635364,4168990.142857143,147.399994,28.92,16.629998999999998,333.980011,142.649994,26.6,2.068985713,14,0.020225385316253796,0.001228424882924211,0.001559828072283586,49228.65161751993
2020-02-07,9795.3440659492,868589,1.07592529316594e+20,2794562.5,610260228,6.64263891249076e+22,31.51759356,4171273.2857142864,147.78999299999995,28.719999,16.540001,332.200012,144.429993,26.66,2.068985713,14,0.020217310383491855,0.0014233092050691528,0.0016197256953750408,49095.8374480799
2020-02-08,9927.7782564213,723079,1.05700640943782e+20,2792825.0,610634855,6.64263891249076e+22,21.33690612,4173556.4285714286,147.78999299999995,28.719999,16.540001,332.200012,144.429993,26.66,2.068985713,14,0.019116656459953082,0.0011841430178432903,0.001591244719700531,49095.8374480799
2020-02-09,10132.706499106,686022,1.17611006736303e+20,2790912.5,610998272,6.64263891249076e+22,19.8217869,4175839.5714285714,147.78999299999995,28.719999,16.540001,332.200012,144.429993,26.66,2.068985713,14,0.01890135870168332,0.001122788772797053,0.0017705464392343876,49095.8374480799
2020-02-10,9838.9000162764,708218,9.38834508021169e+19,2789387.5,611366272,6.64263891249076e+22,27.58066679,4178122.7142857136,148.169998,28.530001,16.610001,334.679993,144.830002,26.700001,2.068985713,14,0.0204648309307476,0.0011584185003912025,0.0014133456904541247,49589.53389345002
2020-02-11,10236.6351482326,892362,1.14903387901641e+20,2787537.5,611827763,6.67727646221751e+22,34.77248558,4180405.857142857,147.660004,28.84,16.48,335.26001,144.100006,26.67,2.068985713,14,0.0215986328826139,0.001458518318332671,0.0017208121986832011,49504.49441764004
2020-02-12,10364.9262882252,813659,1.09808363556178e+20,2785762.5,612262024,6.67727646221751e+22,37.39850183,4182689.0,147.53999299999995,29.24,16.33,337.420013,143.369995,26.74,2.068985713,14,0.021347026566776107,0.001328939192870796,0.00164450826886552,49782.94635607989
